Mods count: 496
 
jar name                                                                           | mod id (isMCreator)                                               | mixin configs
fabric-loader-0.18.4.jar (modloader)                                               | fabric                                                            | 
3d-armor-0.9.2-mod.jar                                                             | armor_3d                                                          | 
[1.19.4-1.20.1]witherswrath-1.15.1.jar                                             | witherswrath                                                      | 
[1.20.1] Hybrid Aquatic 1.3.5.jar                                                  | hybrid-aquatic                                                    | hybrid-aquatic.mixins.json, hybrid-aquatic.client.mixins.json
    /META-INF/jars/reach-entity-attributes-2.4.0.jar                               | reach-entity-attributes                                           | mixins.reach-entity-attributes.json
accessories-fabric-1.0.0-beta.46+1.20.1.jar                                        | accessories                                                       | accessories-fabric.mixins.json, accessories-common.mixins.json
    /META-INF/jars/endec-0.1.8.jar                                                 | io_wispforest_endec                                               | 
    /META-INF/jars/gson-0.1.5.jar                                                  | io_wispforest_endec_gson                                          | 
    /META-INF/jars/netty-0.1.4.jar                                                 | io_wispforest_endec_netty                                         | 
accurate-block-placement-1.2.1.jar                                                 | accurateblockplacement                                            | accurateblockplacement.mixins.json
additional-armoury-1.0.2+1.20.1.jar                                                | additional-armoury                                                | additional-armoury.mixins.json
    /META-INF/jars/Fabric-ASM-v2.3.jar                                             | mm                                                                | mixins.mm.json, mixins.mm.refmap.json
AdditionalAdditions-6.0.1.jar                                                      | additionaladditions                                               | AdditionalAdditions.mixins.json
    /META-INF/jars/LibGui-8.0.1+1.20.jar                                           | libgui                                                            | mixins.libgui.json
        /META-INF/jars/Jankson-Fabric-5.0.1+j1.2.2.jar                             | jankson                                                           | 
            /META-INF/jars/jankson-1.2.2.jar                                       | blue_endless_jankson                                              | 
        /META-INF/jars/libninepatch-1.2.0.jar                                      | libninepatch                                                      | 
adorabuild-structures-2.6.0-fabric-1.20.2.jar                                      | adorabuild_structures                                             | 
advancednetherite-fabric-2.1.3-1.20.1.jar                                          | advancednetherite                                                 | advancednetherite.mixins.json
advancementinfo-1.20-fabric0.83.0-1.4.jar                                          | advancementinfo                                                   | mixins.advancementinfo.json
AdvancementPlaques-1.20.1-fabric-1.6.7.jar                                         | advancementplaques                                                | 
adventurez-1.4.20.jar                                                              | adventurez                                                        | adventurez.mixins.json
aether-1.20.1-1.5.2-beta.9-fabric.jar                                              | aether                                                            | aether.mixins.json, aether_fabric.mixins.json
    /META-INF/jars/accessors-2.3.9-beta.51+1.20.1.jar                              | porting_lib_accessors                                             | porting_lib_accessors.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/asm-2.3.9-beta.51+1.20.1.jar                                    | porting_lib_asm                                                   | 
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/attributes-2.3.9-beta.51+1.20.1.jar                             | porting_lib_attributes                                            | porting_lib_attributes.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                           | reach-entity-attributes                                           | mixins.reach-entity-attributes.json
    /META-INF/jars/base-2.3.9-beta.52+1.20.1.jar                                   | porting_lib_base                                                  | porting_lib_base.mixins.json
        /META-INF/jars/porting_lib_mixin_extensions-2.3.9-beta.52+1.20.1.jar       | porting_lib_mixin_extensions                                      | porting_lib_mixin_extensions.mixins.json
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                           | reach-entity-attributes                                           | mixins.reach-entity-attributes.json
        /META-INF/jars/porting_lib_tags-2.3.9-beta.52+1.20.1.jar                   | porting_lib_tags                                                  | porting_lib_tags.mixins.json
        /META-INF/jars/porting_lib_common-2.3.9-beta.52+1.20.1.jar                 | porting_lib_common                                                | porting_lib_common.mixins.json
        /META-INF/jars/porting_lib_transfer-2.3.9-beta.52+1.20.1.jar               | porting_lib_transfer                                              | porting_lib_transfer.mixins.json
        /META-INF/jars/porting_lib_extensions-2.3.9-beta.52+1.20.1.jar             | porting_lib_extensions                                            | porting_lib_extensions.mixins.json
        /META-INF/jars/porting_lib_entity-2.3.9-beta.52+1.20.1.jar                 | porting_lib_entity                                                | porting_lib_entity.mixins.json
        /META-INF/jars/porting_lib_utility-2.3.9-beta.52+1.20.1.jar                | porting_lib_utility                                               | 
        /META-INF/jars/porting_lib_tool_actions-2.3.9-beta.52+1.20.1.jar           | porting_lib_tool_actions                                          | porting_lib_tool_actions.mixins.json
        /META-INF/jars/porting_lib_gui_utils-2.3.9-beta.52+1.20.1.jar              | porting_lib_gui_utils                                             | porting_lib_gui_utils.mixins.json
        /META-INF/jars/toml-3.6.6.jar                                              | com_electronwill_night-config_toml                                | 
        /META-INF/jars/core-3.6.6.jar                                              | com_electronwill_night-config_core                                | 
        /META-INF/jars/porting_lib_lazy_registration-2.3.9-beta.52+1.20.1.jar      | porting_lib_lazy_registration                                     | 
        /META-INF/jars/porting_lib_core-2.3.9-beta.52+1.20.1.jar                   | porting_lib_core                                                  | 
